"","pupilid","schoolid","district","bungoma","division","zone","tracking","sbm","girl","agetest","etpteacher","lowstream","stream_meanpercentile","SDstream_std_mark","MEANstream_std_mark","bottomhalf","tophalf","bottomquarter","secondquarter","thirdquarter","topquarter","std_mark","percentile","realpercentile","quantile5p","attrition","wordscore","sentscore","letterscore","spellscore","sentscore24","letterscore24","spellscore24","litscore","additions_score","substractions_score","multiplications_score","mathscoreraw","totalscore","rMEANstream_std_baselinemark","rSDstream_std_baselinemark","rMEANstream_std_total","rSDstream_std_total","rMEANstream_std_math","rSDstream_std_math","rMEANstream_std_lit","rSDstream_std_lit","r2_attrition","r2_age","r2_wordscore","r2_sentscore","r2_letterscore","r2_spellscore","r2_sentscore24","r2_letterscore24","r2_spellscore24","r2_litscore","r2_mathscoreraw","r2_additions_score","r2_substractions_score","r2_multiplications_score","r2_totalscore"
"11",4301015,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,11,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-1.08286011219025,18.5897464752197,19,4,0,2,2,33,2,1.20000004768372,11.3142852783203,4.80000019073486,4.82857131958008,3,5,1,9,13.8285713195801,-0.827439785003662,0.677644610404968,-0.327917903661728,0.708134353160858,-0.285349190235138,0.977596461772919,-0.278042644262314,0.477369695901871,0,8,6,8,55,5,4.80000019073486,18.8571434020996,12,10.41428565979,16,8,8,0,26.41428565979
"12",4301017,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,8,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-0.803342998027802,21.1538429260254,22,5,0,0,3,24,0,1.79999995231628,8.22857189178467,0,2.50714302062988,4,2,0,6,8.50714302062988,-0.828257858753204,0.676683962345123,-0.313377439975739,0.721427083015442,-0.268296658992767,0.989214062690735,-0.268761187791824,0.485218286514282,0,9,24,37,38,7,22.2000007629395,13.0285711288452,16.7999992370605,19.0071430206299,14,7,4,3,33.0071411132812
"13",4301018,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,7,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-0.78237920999527,22.4358978271484,23,5,0,4,0,26,0,0,8.91428565979004,0,3.22857141494751,3,3,0,6,9.22857093811035,-0.828353881835938,0.676512122154236,-0.315098464488983,0.721270620822906,-0.268296658992767,0.989214062690735,-0.271479576826096,0.485043317079544,0,7,2,2,34,2,1.20000004768372,11.6571426391602,4.80000019073486,4.91428565979004,11,5,6,0,15.91428565979
"14",4301019,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,8,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-0.747439563274384,23.7179527282715,24,5,0,0,2,0,0,1.20000004768372,0,0,0.300000011920929,2,0,0,2,2.29999995231628,-0.828524768352509,0.676194965839386,-0.301636755466461,0.700617969036102,-0.252555102109909,0.975930154323578,-0.261327981948853,0.47284460067749,0,12,0,0,0,0,0,0,0,0,7,4,3,0,7
"15",4301021,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,10,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-0.635632693767548,26.2820472717285,27,6,0,4,0,51,2,0,17.4857139587402,4.80000019073486,6.5714282989502,5,2,0,7,13.5714282989502,-0.829161643981934,0.674920916557312,-0.327113300561905,0.709439754486084,-0.273445516824722,0.98737096786499,-0.286084234714508,0.456819325685501,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4301022,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,10,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-0.607680976390839,27.5641021728516,28,6,0,2,0,20,0,0,6.85714292526245,0,2.2142858505249,3,5,0,8,10.2142858505249,-0.829342126846313,0.674540519714355,-0.317573338747025,0.720232427120209,-0.279118150472641,0.983523428440094,-0.267699033021927,0.484709799289703,0,10,0,0,56,0,0,19.2000007629395,0,4.80000019073486,14,7,6,1,18.7999992370605
"17",4301023,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,7,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-0.600693106651306,28.8461570739746,29,6,0,2,5,58,3,3,19.8857135772705,7.19999980926514,8.02142810821533,4,3,2,9,17.021427154541,-0.829388558864594,0.674441635608673,-0.338852733373642,0.685690104961395,-0.285349190235138,0.977596461772919,-0.293550789356232,0.428301334381104,0,9,24,30,23,9,18,7.88571405410767,21.6000003814697,17.8714294433594,16,8,5,3,33.8714294433594
"18",4301024,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,8,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-0.509850025177002,30.1282043457031,31,7,0,0,0,12,0,0,4.11428594589233,0,1.02857148647308,1,2,0,3,4.02857160568237,-0.830041110515594,0.673014044761658,-0.304358571767807,0.710643112659454,-0.255779802799225,0.982569634914398,-0.263637155294418,0.479156255722046,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",4301027,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,9,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-0.405031114816666,33.9743614196777,34,7,0,3,7,10,0,4.19999980926514,3.42857146263123,0,2.65714287757874,1,0,0,1,3.65714287757874,-0.830905795097351,0.671039402484894,-0.303737968206406,0.708786129951477,-0.249811306595802,0.966699719429016,-0.269314378499985,0.48534882068634,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",4301030,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,8,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-0.321175962686539,37.8205108642578,38,8,0,2,1,24,4,0.600000023841858,8.22857189178467,9.60000038146973,5.10714292526245,3,2,0,5,10.1071434020996,-0.83168363571167,0.669204950332642,-0.317297279834747,0.720391392707825,-0.263646095991135,0.989067852497101,-0.279263436794281,0.474977284669876,0,8,16,9,69,8,5.40000009536743,23.6571426391602,19.2000007629395,16.0642852783203,13,6,4,3,29.0642852783203
"21",4301031,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,7,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-1.27153408527374,39.1025657653809,40,8,0,0,4,0,0,2.40000009536743,0,0,0.600000023841858,2,3,0,5,5.59999990463257,-0.827381014823914,0.67687976360321,-0.307199835777283,0.716805636882782,-0.263646095991135,0.989067852497101,-0.262261837720871,0.475721687078476,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",4301032,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,8,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-0.237320840358734,40.3846130371094,41,9,0,0,7,15,0,4.19999980926514,5.14285707473755,0,2.33571434020996,1,1,0,2,4.33571434020996,-0.832537889480591,0.667141377925873,-0.30488657951355,0.712060630321503,-0.252555102109909,0.975930154323578,-0.268136620521545,0.484961450099945,0,7,0,6,25,0,3.59999990463257,8.5714282989502,0,3.04285717010498,13,7,6,0,16.0428581237793
"23",4301033,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,10,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-0.188405349850655,42.3076858520508,43,9,0,0,1,16,0,0.600000023841858,5.48571443557739,0,1.52142858505249,4,1,0,5,6.52142858505249,-0.833071708679199,0.665830790996552,-0.30902773141861,0.719197511672974,-0.263646095991135,0.989067852497101,-0.265279501676559,0.482155472040176,0,13,6,0,23,0,0,7.88571405410767,0,3.47142839431763,16,5,6,5,19.4714279174805
"24",4301034,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,7,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-0.0975622832775116,44.230770111084,45,9,0,0,5,24,0,3,8.22857189178467,0,2.80714297294617,5,6,0,11,13.8071432113647,-0.834132313728333,0.663185179233551,-0.32785040140152,0.708245813846588,-0.299677073955536,0.958871841430664,-0.269873887300491,0.485391587018967,0,10,6,0,40,0,0,13.7142858505249,0,4.9285717010498,8,5,3,0,12.9285717010498
"25",4301035,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,10,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,-0.0975622832775116,43.5897407531738,44,9,0,4,0,42,2,0,14.3999996185303,4.80000019073486,5.80000019073486,5,4,0,9,14.8000001907349,-0.834132313728333,0.663185179233551,-0.33105680346489,0.702553510665894,-0.285349190235138,0.977596461772919,-0.282404780387878,0.46759170293808,0,12,14,8,70,7,4.80000019073486,24,16.7999992370605,14.8999996185303,16,7,4,5,30.8999996185303
"26",4301037,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,12,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,0.119063474237919,46.7948684692383,47,10,0,0,0,31,0,0,10.6285715103149,0,2.65714287757874,4,4,2,10,12.6571426391602,-0.837026715278625,0.655739307403564,-0.324339896440506,0.713515639305115,-0.29218327999115,0.969450712203979,-0.269314378499985,0.48534882068634,0,10,4,0,63,3,0,21.6000003814697,7.19999980926514,8.19999980926514,12,5,6,1,20.2000007629395
"27",4301038,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,8,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,0,1,0,0,0.133039325475693,48.7179527282715,49,10,0,0,8,34,0,4.80000019073486,11.6571426391602,0,4.11428546905518,3,4,0,7,11.1142854690552,-0.837231278419495,0.655202567577362,-0.319959670305252,0.718450665473938,-0.273445516824722,0.98737096786499,-0.275019645690918,0.482052206993103,0,9,0,0,45,0,0,15.4285717010498,0,3.85714292526245,12,4,6,2,15.8571434020996
"28",4301039,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,8,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,0,1,0,0,1,0,0.195930674672127,51.9230766296387,52,11,0,8,0,0,0,0,0,0,2,5,4,0,9,11,-0.838178277015686,0.652700364589691,-0.319649904966354,0.718721270561218,-0.285349190235138,0.977596461772919,-0.266936779022217,0.484123945236206,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",4301041,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,9,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.223882392048836,54.4871826171875,55,11,0,0,8,17,0,4.80000019073486,5.82857131958008,0,2.65714287757874,4,2,0,6,8.65714263916016,0.832682132720947,0.440222024917603,0.370668679475784,1.16715633869171,0.318297356367111,0.956139445304871,0.317220211029053,1.32509434223175,0,10,0,0,56,0,0,19.2000007629395,0,4.80000019073486,13,6,7,0,17.7999992370605
"30",4301042,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,10,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.223882392048836,53.8461532592773,54,11,0,0,8,19,0,4.80000019073486,6.51428556442261,0,2.82857131958008,0,0,0,0,2.82857131958008,0.832682132720947,0.440222024917603,0.397225558757782,1.14177548885345,0.379408985376358,0.842855930328369,0.316249400377274,1.32559418678284,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",4301044,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,11,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.258822023868561,55.769229888916,56,12,0,0,5,13,0,3,4.45714282989502,0,1.86428570747375,3,5,0,8,9.86428546905518,0.832311511039734,0.441525906324387,0.36602708697319,1.17059934139252,0.304039478302002,0.966176569461823,0.321848779916763,1.32261252403259,0,12,20,4,57,6,2.40000009536743,19.5428562164307,14.3999996185303,14.08571434021,11,6,4,1,25.08571434021
"32",4301045,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,11,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.265809953212738,57.0512847900391,58,12,0,0,2,17,0,1.20000004768372,5.82857131958008,0,1.7571427822113,2,3,0,5,6.75714302062988,0.832239091396332,0.441778004169464,0.378537446260452,1.16055536270142,0.326387077569962,0.946869432926178,0.322492212057114,1.32225525379181,0,12,0,6,37,0,3.59999990463257,12.6857147216797,0,4.07142877578735,8,3,3,2,12.0714282989502
"33",4301046,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,11,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.279785811901093,58.3333320617676,59,12,0,6,1,1,0,0.600000023841858,0.342857152223587,0,1.7357143163681,4,2,0,6,7.73571443557739,0.832095682621002,0.442273736000061,0.37439638376236,1.16414082050323,0.318297356367111,0.956139445304871,0.322621405124664,1.32218301296234,0,12,2,0,6,0,0,2.05714297294617,0,1.01428580284119,11,4,5,2,12.0142860412598
"34",4301048,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,9,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.314725458621979,60.8974342346191,61,13,0,0,8,41,0,4.80000019073486,14.0571432113647,0,4.7142858505249,3,4,2,9,13.7142858505249,0.831746637821198,0.443463236093521,0.352939039468765,1.17795705795288,0.297784745693207,0.967164158821106,0.306239426136017,1.33027565479279,0,11,0,8,58,0,4.80000019073486,19.8857135772705,0,6.17142868041992,15,5,7,3,21.1714286804199
"35",4301050,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,9,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.531351208686829,63.4615364074707,64,13,0,0,0,34,0,0,11.6571426391602,0,2.91428565979004,4,5,1,10,12.91428565979,0.829878568649292,0.449280858039856,0.355452358722687,1.1768684387207,0.292071938514709,0.965466678142548,0.315767973661423,1.32583940029144,0,11,0,8,60,2,4.80000019073486,20.5714282989502,4.80000019073486,7.54285717010498,14,4,7,3,21.5428581237793
"36",4301052,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,9,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.622194290161133,67.3076934814453,68,14,0,0,0,28,0,0,9.60000038146973,0,2.40000009536743,6,5,2,13,15.3999996185303,0.829247236251831,0.450938433408737,0.347982555627823,1.1795107126236,0.278038799762726,0.942681431770325,0.318696051836014,1.3243203163147,0,11,20,18,70,6,10.8000001907349,24,14.3999996185303,17.2999992370605,19,8,7,4,36.2999992370605
"37",4301054,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,12,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.671109735965729,68.5897445678711,69,14,0,0,0,6,0,0,2.05714297294617,0,0.514285743236542,4,3,0,7,7.51428556442261,0.828944623470306,0.451642423868179,0.375316739082336,1.16336452960968,0.310864388942719,0.962523519992828,0.33028319478035,1.31770980358124,0,12,4,0,26,0,0,8.91428565979004,0,3.22857141494751,12,7,4,1,15.2285709381104
"38",4301056,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,10,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.713037312030792,71.1538467407227,72,15,0,0,0,22,0,0,7.54285717010498,0,1.88571429252625,4,4,1,9,10.8857145309448,0.828706204891205,0.45214119553566,0.362305998802185,1.17307913303375,0.297784745693207,0.967164158821106,0.321720600128174,1.3226832151413,0,11,0,0,49,1,0,16.7999992370605,2.40000009536743,4.79999971389771,12,6,6,0,16.7999992370605
"39",4301057,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,10,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.740989029407501,72.4358978271484,73,15,0,0,7,18,0,4.19999980926514,6.17142868041992,0,2.59285712242126,1,2,0,3,5.59285736083984,0.828557848930359,0.452420234680176,0.383719801902771,1.15575063228607,0.344795823097229,0.918518483638763,0.317586898803711,1.32490348815918,0,10,8,4,49,2,2.40000009536743,16.7999992370605,4.80000019073486,8,9,3,4,2,17
"40",4301058,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,12,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,1,0,0.761952817440033,73.7179489135742,74,15,0,0,4,26,0,2.40000009536743,8.91428565979004,0,2.82857131958008,1,4,1,6,8.82857131958008,0.828452289104462,0.452601373195648,0.369993060827255,1.16767978668213,0.318297356367111,0.956139445304871,0.316249400377274,1.32559418678284,0,12,6,0,44,0,0,15.08571434021,0,5.27142858505249,12,5,4,3,17.2714290618896
"41",4301059,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,9,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,0,1,0.817856252193451,75,75,15,0,20,1,36,7,0.600000023841858,12.3428573608398,16.7999992370605,12.4357137680054,4,5,0,9,21.4357147216797,0.82819402217865,0.452966719865799,0.333887338638306,1.17663788795471,0.297784745693207,0.967164158821106,0.276550829410553,1.3348799943924,0,10,24,40,70,8,24,24,19.2000007629395,22.7999992370605,16,8,5,3,38.7999992370605
"42",4301060,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,12,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,0,1,0.831832110881805,76.2820510864258,77,16,0,0,0,32,2,0,10.9714288711548,4.80000019073486,3.94285726547241,5,5,1,11,14.9428577423096,0.828134775161743,0.453031301498413,0.349281668663025,1.17918837070465,0.286881744861603,0.960977077484131,0.310189813375473,1.328537940979,0,13,14,1,67,7,0.600000023841858,22.9714279174805,16.7999992370605,13.5928564071655,16,5,7,4,29.5928573608398
"43",4301062,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,12,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,0,1,0.915687203407288,78.8461532592773,79,16,0,0,7,26,2,4.19999980926514,8.91428565979004,4.80000019073486,4.47857141494751,2,4,0,6,10.4785709381104,0.82782506942749,0.453193753957748,0.363767027854919,1.17213749885559,0.318297356367111,0.956139445304871,0.307425886392593,1.3297700881958,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",4301063,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,10,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,0,1,0.936650991439819,80.1282043457031,81,17,0,18,7,42,8,4.19999980926514,14.3999996185303,19.2000007629395,13.9499998092651,5,3,3,11,24.9500007629395,0.827759861946106,0.453173935413361,0.328326195478439,1.16818118095398,0.286881744861603,0.960977077484131,0.272754848003387,1.33285093307495,0,10,22,16,70,10,9.60000038146973,24,24,19.8999996185303,15,8,4,3,34.9000015258789
"45",4301064,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,11,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,0,1,0.971590638160706,81.4102554321289,82,17,0,24,15,63,9,9,21.6000003814697,21.6000003814697,19.0499992370605,4,4,3,11,30.0499992370605,0.827661633491516,0.453086972236633,0.324114739894867,1.14411497116089,0.286881744861603,0.960977077484131,0.265670359134674,1.31569147109985,0,11,24,38,70,9,22.7999992370605,24,21.6000003814697,23.1000003814697,12,7,3,2,35.0999984741211
"46",4301065,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,12,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,0,1,1.02050614356995,82.6923065185547,83,17,0,0,1,15,1,0.600000023841858,5.14285707473755,2.40000009536743,2.0357141494751,5,5,1,11,13.0357141494751,0.827547073364258,0.452851623296738,0.355064153671265,1.17704820632935,0.286881744861603,0.960977077484131,0.320828348398209,1.32317316532135,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",4301067,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,10,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,0,1,1.06243371963501,85.2564086914062,86,18,0,8,0,26,0,0,8.91428565979004,0,4.22857141494751,2,6,0,8,12.2285709381104,0.827470242977142,0.452543884515762,0.357691049575806,1.17575371265411,0.304039478302002,0.966176569461823,0.30870395898819,1.32920956611633,0,12,4,0,70,3,0,24,7.19999980926514,8.80000019073486,18,8,7,3,26.7999992370605
"48",4301069,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,13,1,0,75.1150588989258,0.447914093732834,0.819289684295654,0,1,0,0,0,1,1.11833715438843,87.8205108642578,88,18,0,0,2,25,0,1.20000004768372,8.5714282989502,0,2.44285702705383,5,6,0,11,13.4428567886353,0.827398180961609,0.451980382204056,0.353780031204224,1.17761313915253,0.286881744861603,0.960977077484131,0.318448454141617,1.32445132732391,0,13,14,2,57,3,1.20000004768372,19.5428562164307,7.19999980926514,10.4857139587402,19,6,9,4,29.4857139587402
